n;r;a;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
5;25.00;0;0;5;0.95;36;3600;1077;0.00036205723881721497;177.7654035840867;24.17896124906838;163.57590714789401;0
5;25.00;0;1;5;0.95;36;3600;3600;0.0004255436360836029;212.3320196770244;189.1869643200189;165.72159507131886;0
5;25.00;0;2;5;0.95;36;3600;3600;0.0004065614193677902;104.79027781297377;59.682677540928125;99.41763840257323;0
5;25.00;0;3;5;0.95;36;3600;3600;0.0003680475056171417;97.96021233822236;80.96895410306752;78.6950167525756;0
5;25.00;1;0;5;0.95;36;3600;3600;0.00039147213101387024;132.900949480972;104.71924138255417;113.20578295031436;0
5;25.00;1;1;5;0.95;36;3600;3600;0.000403817743062973;68.70572687515589;91.03488174080849;61.93811456967062;0
5;25.00;1;2;5;0.95;36;3600;3600;0.00043910741806030273;88.0192364771222;111.08650756441057;73.05516278880056;0
5;25.00;1;3;5;0.95;36;3600;3600;0.000421769917011261;98.3438736646963;95.7307382170111;96.81082830643473;0
5;50.00;0;0;5;0.95;36;3600;3600;0.0003714170306921005;76.19092309211338;75.05121235921979;72.39168349211337;0
5;50.00;0;1;5;0.95;36;3600;3600;0.00040443800389766693;94.86895614525639;103.08244829624891;88.60570095065933;0
5;50.00;0;2;5;0.95;36;3600;3600;0.000413648784160614;101.09981301004663;100.94965541549027;95.38454697023161;0
5;50.00;0;3;5;0.95;36;3600;3600;0.0004328172653913498;92.2678649524254;130.1191322747618;80.811947189748;0
5;50.00;1;0;5;0.95;36;3600;3600;0.0005814768373966217;112.77319187954369;121.3443105313927;98.25329125722256;0
5;50.00;1;1;5;0.95;36;3600;3600;0.0004226919263601303;82.42373074711172;101.5514621604234;74.92752183413003;0
5;50.00;1;2;5;0.95;36;3600;3600;0.00041109882295131683;99.65892280591537;92.07581726461649;83.88163938529759;0
5;50.00;1;3;5;0.95;36;3600;3600;0.00041127949953079224;102.95078960930437;91.60279428772628;102.09741833158357;0
5;100.00;0;0;5;0.95;36;3600;3600;0.00042103976011276245;91.20093620752422;91.26665471494198;75.2493420543783;0
5;100.00;0;1;5;0.95;36;3600;1380;0.00042954832315444946;175.6379605347076;36.22097757272422;77.71477456583261;0
5;100.00;0;2;5;0.95;36;3600;2701;0.0004533771425485611;56.06674964495178;62.305937802419066;49.32166933201775;0
5;100.00;0;3;5;0.95;36;3600;3600;0.0004765484482049942;111.71769387259872;64.66194674931467;51.97161311534459;0
5;100.00;1;0;5;0.95;36;3600;3600;0.0004634317010641098;54.480245488058515;123.77386732213199;53.79521975248821;0
5;100.00;1;1;5;0.95;36;3600;2014;0.0004053972661495209;76.3297437877541;43.58242070861161;69.9164074275873;0
5;100.00;1;2;5;0.95;36;3600;2012;0.0004063602536916733;100.24153914683131;42.36616113036871;93.1260534175642;0
5;100.00;1;3;5;0.95;36;3600;2294;0.00042129121720790863;55.45704772376388;39.44155017286539;53.78855973891764;0
5;200.00;0;0;5;0.95;36;3600;3003;0.0004432983696460724;137.9201043506088;89.14973239600658;67.13378754385157;0
5;200.00;0;1;5;0.95;36;3600;1;0.00046285614371299744;169.90993879579668;0.24298028647899628;169.90993879579668;84.96571158761718
5;200.00;0;2;5;0.95;36;3600;67;0.00045669637620449066;146.12885570107872;1.781206676736474;74.4363433723115;30.165500000000065
5;200.00;0;3;5;0.95;36;3600;3600;0.0004468001425266266;59.8577533493939;86.05156045034528;57.01832865264005;0
5;200.00;1;0;5;0.95;36;3600;2853;0.00042915716767311096;57.72602343382926;67.70262381061912;56.35180957493279;0
5;200.00;1;1;5;0.95;36;3600;58;0.00046772509813308716;148.08020288616427;1.6170000843703747;81.60815356392122;25.809999999999974
5;200.00;1;2;5;0.95;36;3600;3227;0.0004170238971710205;122.7860573824568;78.80693634040654;67.18791129822885;0
5;200.00;1;3;5;0.95;36;3600;36;0.000444851815700531;330.73825974025976;1.1566094439476728;231.03058441558437;172.20599999999996
10;25.00;0;0;10;0.95;76;7600;7600;0.0008021313697099686;424.51092445946233;193.25266242958605;359.471639099979;0
10;25.00;0;1;10;0.95;76;7600;7600;0.0007955487817525864;424.3493566331424;206.95053355768323;334.63214332817205;2.3999999999987076
10;25.00;0;2;10;0.95;76;7600;7600;0.0008256938308477402;250.27917586984944;204.46974464319646;232.05494113646958;0
10;25.00;0;3;10;0.95;76;7600;7600;0.0008080732077360153;392.8367872301535;243.97042490169406;300.0754872848875;0
10;25.00;1;0;10;0.95;76;7600;7600;0.0007393062114715576;401.67718902523796;277.9480359889567;345.7130626647121;0
10;25.00;1;1;10;0.95;76;7600;7600;0.000651853159070015;446.6542262380847;218.88581042923033;394.69255488888894;0
10;25.00;1;2;10;0.95;76;7600;7600;0.0007528290152549744;493.57740349062937;245.50190136022866;399.05999421109783;0
10;25.00;1;3;10;0.95;76;7600;7600;0.000750591978430748;399.999924643769;280.7192457988858;378.15242513320794;0
10;50.00;0;0;10;0.95;76;7600;7600;0.0007666479796171188;207.1668762214532;293.984633076936;193.5682973995177;0
