LABELS;S_2;S_4;C_2;S_3;C_3;S_0;S_1;C_4;C_1;C_0
JOB ID;2;4;2;3;3;0;1;4;1;0
EVENT TYPE;0;0;1;0;1;0;0;1;1;1
TIME;0.12999999999999923;1.09;1.5294708994708988;1.8399999999999983;2.857791970802918;4.1181920000000005;4.1181920000000005;4.1181920000000005;6.471296212860311;6.619055557858378
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;13.624473392461198;0.0;0.8555266075388026;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;42.45;0.0;0.0;0.0
RESOURCE JOB 2;14.515200000000014;6.644800000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;22.31;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;4.341972486772457;7.7632275132274895;3.134799270072989;31.510000729927064;0.0;0.0;0.0;0.0;0.0
