LABELS;S_1;S_3;S_2;S_0;C_3;C_1;C_2;S_4;C_0;C_4
JOB ID;1;3;2;0;3;1;2;4;0;4
EVENT TYPE;0;0;0;0;1;1;1;0;1;1
TIME;0.0;1.8300000000000005;2.62;2.99;3.3370821529745016;3.9247311827956968;4.331058497507105;4.331058497507105;4.33658530588921;6.22058404291089
RESOURCE JOB 0;0.0;0.0;0.0;3.526354674220867;7.51603109141309;5.196926355158915;0.07068787920712616;0.0;0.0;0.0
RESOURCE JOB 1;10.211400000000003;4.408199999999997;2.064599999999999;1.936718413597733;3.279081586402267;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;7.2927000000000195;3.314634560906491;18.587338813244397;14.855326625849091;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;19.52089999999999;9.142700000000005;8.576400000000007;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.20565253989812504;0.0;78.37434746010187;0.0
